Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
1,24391538,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,RESIDENTIAL BUILDING,11693,Far Rockaway,QUEENS
2,40523233,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11201,BROOKLYN,BROOKLYN
0,25471477,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11216,BROOKLYN,BROOKLYN
0,25272013,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11224,BROOKLYN,BROOKLYN
3,25431622,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10460,BRONX,BRONX
3,33048852,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10461,BRONX,BRONX
0,26737194,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10025,NEW YORK,MANHATTAN
0,34088849,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11221,BROOKLYN,BROOKLYN
0,29005297,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11226,BROOKLYN,BROOKLYN
2,27228936,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10012,NEW YORK,MANHATTAN
0,30690578,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11221,BROOKLYN,BROOKLYN
2,33448613,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11232,BROOKLYN,BROOKLYN
2,35006086,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,35491289,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10472,BRONX,BRONX
0,30088959,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
0,30589047,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11368,CORONA,QUEENS
0,25610003,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11234,BROOKLYN,BROOKLYN
2,24707883,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11101,Long Island City,QUEENS
0,28954565,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10030,NEW YORK,MANHATTAN
0,28791936,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11429,QUEENS VILLAGE,QUEENS
2,35019440,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
1,27445554,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11102,Astoria,QUEENS
2,22573793,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,11228,BROOKLYN,BROOKLYN
0,34418676,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,BRONX,BRONX
3,30314742,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,38306902,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11208,BROOKLYN,BROOKLYN
1,40422131,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11423,Hollis,QUEENS
1,22791609,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11435,JAMAICA,QUEENS
3,35207521,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10459,BRONX,BRONX
2,22720179,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CABINETS,RESIDENTIAL BUILDING,11211,BROOKLYN,BROOKLYN
1,41401623,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
0,25956271,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10029,NEW YORK,MANHATTAN
2,24328469,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10458,BRONX,BRONX
3,39586716,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10468,BRONX,BRONX
0,34720562,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11368,CORONA,QUEENS
2,30627308,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11222,BROOKLYN,BROOKLYN
0,33148855,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,BRONX,BRONX
2,34671002,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11236,BROOKLYN,BROOKLYN
2,23134024,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10455,BRONX,BRONX
2,28260105,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,35411660,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10014,NEW YORK,MANHATTAN
0,32370466,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,NEW YORK,MANHATTAN
1,29410525,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11364,Oakland Gardens,QUEENS
0,30787770,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,NEW YORK,MANHATTAN
2,28704277,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,25116261,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10035,NEW YORK,MANHATTAN
3,45096929,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10463,BRONX,BRONX
2,27533120,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11234,BROOKLYN,BROOKLYN
1,35025307,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11105,Astoria,QUEENS
0,36562395,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR FRAME,RESIDENTIAL BUILDING,10029,NEW YORK,MANHATTAN
3,31592512,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,35531840,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
0,33722490,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
0,23272846,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11230,BROOKLYN,BROOKLYN
3,27078614,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10458,BRONX,BRONX
2,27253943,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11218,BROOKLYN,BROOKLYN
1,40879520,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11249,BROOKLYN,BROOKLYN
0,42228154,New York City Police Department,Animal Abuse,Neglected,Residential Building/House,11236,BROOKLYN,BROOKLYN
2,24697625,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
0,31725066,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11233,BROOKLYN,BROOKLYN
0,27001418,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11385,RIDGEWOOD,QUEENS
0,31880280,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
0,37417638,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10451,BRONX,BRONX
1,41981459,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11208,BROOKLYN,BROOKLYN
0,26805269,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10025,NEW YORK,MANHATTAN
0,36722135,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,BRONX,BRONX
1,24113496,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11385,RIDGEWOOD,QUEENS
3,39063695,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10459,BRONX,BRONX
3,25891130,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10452,BRONX,BRONX
2,28082864,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11231,BROOKLYN,BROOKLYN
0,27018211,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10014,NEW YORK,MANHATTAN
3,31581826,Department of Housing Preservation and Development,UNSANITARY CONDITION,SEWAGE,RESIDENTIAL BUILDING,10453,BRONX,BRONX
2,27219857,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10018,NEW YORK,MANHATTAN
2,25183021,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
0,41920994,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11206,BROOKLYN,BROOKLYN
0,33859237,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10034,NEW YORK,MANHATTAN
2,27679602,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
0,28417961,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11206,BROOKLYN,BROOKLYN
1,35679360,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11210,BROOKLYN,BROOKLYN
3,35051177,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10455,BRONX,BRONX
0,26637341,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,10035,NEW YORK,MANHATTAN
1,40583320,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10034,NEW YORK,MANHATTAN
3,27917056,Department of Housing Preservation and Development,WATER LEAK,SLOW LEAK,RESIDENTIAL BUILDING,10458,BRONX,BRONX
2,26667859,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10472,BRONX,BRONX
0,24308452,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
2,27323225,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
3,33814199,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10457,BRONX,BRONX
0,39424285,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10460,BRONX,BRONX
2,29684099,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
3,31815598,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
3,35464265,Department of Housing Preservation and Development,PLUMBING,RADIATOR,RESIDENTIAL BUILDING,10468,BRONX,BRONX
