Cluster,Unique Key,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,City,Borough
1,40701966,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11694,Rockaway Park,QUEENS
2,30796813,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
0,30920715,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10462,BRONX,BRONX
1,29714410,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10016,NEW YORK,MANHATTAN
1,32960325,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
1,34724892,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11207,BROOKLYN,BROOKLYN
0,39601946,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10029,NEW YORK,MANHATTAN
0,36723336,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11233,BROOKLYN,BROOKLYN
0,29841149,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10034,NEW YORK,MANHATTAN
0,31679821,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11373,ELMHURST,QUEENS
1,22900277,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11418,RICHMOND HILL,QUEENS
0,28772927,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11210,BROOKLYN,BROOKLYN
3,37968529,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10457,BRONX,BRONX
0,32955827,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10024,NEW YORK,MANHATTAN
1,37900031,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11220,BROOKLYN,BROOKLYN
0,30847364,New York City Police Department,Animal Abuse,Neglected,Residential Building/House,11363,LITTLE NECK,QUEENS
0,42843137,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11207,BROOKLYN,BROOKLYN
2,37612140,Department of Housing Preservation and Development,SAFETY,SMOKE DETECTOR,RESIDENTIAL BUILDING,11235,BROOKLYN,BROOKLYN
3,35076571,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10462,BRONX,BRONX
3,23380914,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,10458,BRONX,BRONX
3,37895862,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10451,BRONX,BRONX
0,40294500,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,BRONX,BRONX
3,29774344,Department of Housing Preservation and Development,ELECTRIC,WIRING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
3,33879391,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,35124957,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
0,35196083,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10002,NEW YORK,MANHATTAN
0,38254954,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11210,BROOKLYN,BROOKLYN
0,26188626,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11238,BROOKLYN,BROOKLYN
2,31160761,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
1,23605617,Department of Housing Preservation and Development,PLUMBING,SHOWER-STALL,RESIDENTIAL BUILDING,11369,EAST ELMHURST,QUEENS
2,24692415,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,BRONX,BRONX
2,37010544,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
3,35379265,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,37295656,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10452,BRONX,BRONX
0,23556913,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
3,24521225,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10465,BRONX,BRONX
3,41672597,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
3,30456298,Department of Housing Preservation and Development,GENERAL,CABINET,RESIDENTIAL BUILDING,10457,BRONX,BRONX
1,29132374,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11218,BROOKLYN,BROOKLYN
2,32294180,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11219,BROOKLYN,BROOKLYN
1,37584368,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
1,28004339,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11106,Astoria,QUEENS
1,37924122,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
2,24997680,Department of Housing Preservation and Development,PAINT - PLASTER,WALLS,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
1,36103053,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11385,Ridgewood,QUEENS
3,24319759,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,22592790,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10468,BRONX,BRONX
0,40419762,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10302,STATEN ISLAND,STATEN ISLAND
2,24752910,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,38570315,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10037,NEW YORK,MANHATTAN
2,27513817,Department of Housing Preservation and Development,NONCONST,RUBBISH,RESIDENTIAL BUILDING,11235,BROOKLYN,BROOKLYN
0,41721552,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10466,BRONX,BRONX
3,35221035,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10453,BRONX,BRONX
3,41771320,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,10472,BRONX,BRONX
0,36554195,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11104,SUNNYSIDE,QUEENS
0,22950593,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
2,24894131,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10468,BRONX,BRONX
0,33523457,New York City Police Department,Animal Abuse,Neglected,Residential Building/House,10452,BRONX,BRONX
2,31963192,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11210,BROOKLYN,BROOKLYN
1,37557025,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10034,NEW YORK,MANHATTAN
0,24879798,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,FAR ROCKAWAY,QUEENS
0,25193089,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10304,STATEN ISLAND,STATEN ISLAND
2,25363105,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11211,BROOKLYN,BROOKLYN
1,29934401,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
0,31438343,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10027,NEW YORK,MANHATTAN
1,23517823,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,11691,FAR ROCKAWAY,QUEENS
0,42759416,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11691,FAR ROCKAWAY,QUEENS
3,26934350,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-WIRING,RESIDENTIAL BUILDING,10458,BRONX,BRONX
1,29113447,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11223,BROOKLYN,BROOKLYN
0,33130702,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,10039,NEW YORK,MANHATTAN
3,34142112,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,22607207,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,11213,BROOKLYN,BROOKLYN
3,44978837,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10452,BRONX,BRONX
1,29656191,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
3,25088932,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,25000044,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
2,26884638,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,24902975,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,MOLD,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
3,28471598,Department of Housing Preservation and Development,SAFETY,WINDOW GUARD BROKEN/MISSING,RESIDENTIAL BUILDING,10460,BRONX,BRONX
0,32274024,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11360,BAYSIDE,QUEENS
1,38040980,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10002,NEW YORK,MANHATTAN
2,37614249,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11238,BROOKLYN,BROOKLYN
3,29415052,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10457,BRONX,BRONX
3,38346166,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10454,BRONX,BRONX
1,32776425,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11249,BROOKLYN,BROOKLYN
2,26140884,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11229,BROOKLYN,BROOKLYN
0,39568020,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11226,BROOKLYN,BROOKLYN
0,32458420,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11102,ASTORIA,QUEENS
2,35695476,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,30131473,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11207,BROOKLYN,BROOKLYN
0,26823113,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10029,NEW YORK,MANHATTAN
3,28658455,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,10461,BRONX,BRONX
3,29700594,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10451,BRONX,BRONX
0,38454053,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
1,44123753,Department of Housing Preservation and Development,WATER LEAK,DAMP SPOT,RESIDENTIAL BUILDING,11421,Woodhaven,QUEENS
2,32745202,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,32077780,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,NEW YORK,MANHATTAN
3,35104467,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10456,BRONX,BRONX
1,27643991,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
1,32619183,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11209,BROOKLYN,BROOKLYN
0,27018380,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11377,WOODSIDE,QUEENS
2,28849312,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
0,41102716,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10003,NEW YORK,MANHATTAN
0,35994872,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10032,NEW YORK,MANHATTAN
0,25409004,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10461,BRONX,BRONX
1,33097477,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
2,28633450,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
0,37428578,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10458,BRONX,BRONX
2,38056976,Department of Housing Preservation and Development,WATER LEAK,HEAVY FLOW,RESIDENTIAL BUILDING,11215,BROOKLYN,BROOKLYN
0,27573703,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10009,NEW YORK,MANHATTAN
0,41727599,Department of Housing Preservation and Development,APPLIANCE,REFRIGERATOR,RESIDENTIAL BUILDING,10013,NEW YORK,MANHATTAN
1,27521782,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11368,Corona,QUEENS
3,38466044,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,25204642,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,DOORS,RESIDENTIAL BUILDING,10034,NEW YORK,MANHATTAN
0,34434122,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10456,BRONX,BRONX
0,36101488,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11204,BROOKLYN,BROOKLYN
0,23301652,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10040,NEW YORK,MANHATTAN
3,42614556,Department of Housing Preservation and Development,GENERAL,BELL/BUZZER/INTERCOM,RESIDENTIAL BUILDING,10456,BRONX,BRONX
1,22662175,Department of Housing Preservation and Development,ELECTRIC,LIGHTING,RESIDENTIAL BUILDING,10310,STATEN ISLAND,STATEN ISLAND
2,41540260,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
0,33659744,New York City Police Department,Non-Emergency Police Matter,Trespassing,Residential Building/House,11691,FAR ROCKAWAY,QUEENS
2,40550356,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
0,34521888,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,10009,NEW YORK,MANHATTAN
1,32059706,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11205,BROOKLYN,BROOKLYN
0,23323506,New York City Police Department,Posting Advertisement,Building,Residential Building/House,11219,BROOKLYN,BROOKLYN
0,26930653,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10463,BRONX,BRONX
2,31444533,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11221,BROOKLYN,BROOKLYN
1,41535954,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10037,NEW YORK,MANHATTAN
0,29553113,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11236,BROOKLYN,BROOKLYN
2,27258491,Department of Housing Preservation and Development,HEATING,HEAT RELATED,RESIDENTIAL BUILDING,11238,BROOKLYN,BROOKLYN
3,26334155,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10467,BRONX,BRONX
0,37256478,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS RANGE,RESIDENTIAL BUILDING,10011,NEW YORK,MANHATTAN
3,32837980,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10461,BRONX,BRONX
3,41014580,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10453,BRONX,BRONX
1,45052647,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11373,Elmhurst,QUEENS
1,25691295,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,11385,Ridgewood,QUEENS
1,38115883,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
0,26308332,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11385,RIDGEWOOD,QUEENS
3,35815525,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10458,BRONX,BRONX
0,40418630,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND
2,29877008,Department of Housing Preservation and Development,SAFETY,CARBON MONOXIDE DETECTOR,RESIDENTIAL BUILDING,11223,BROOKLYN,BROOKLYN
0,37045717,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11417,OZONE PARK,QUEENS
0,42013281,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11237,BROOKLYN,BROOKLYN
2,23016645,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11230,BROOKLYN,BROOKLYN
0,41007059,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10001,NEW YORK,MANHATTAN
0,30343345,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10031,NEW YORK,MANHATTAN
0,26177250,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10027,NEW YORK,MANHATTAN
0,29385641,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10031,NEW YORK,MANHATTAN
0,27041975,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,FLOOR,RESIDENTIAL BUILDING,10025,NEW YORK,MANHATTAN
0,24521521,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10468,BRONX,BRONX
3,45157929,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10460,BRONX,BRONX
0,30646855,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11420,SOUTH OZONE PARK,QUEENS
3,36015758,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,28666032,Department of Housing Preservation and Development,PLUMBING,TOILET,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
1,42148339,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10033,NEW YORK,MANHATTAN
0,40522698,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10314,STATEN ISLAND,STATEN ISLAND
2,38695291,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11214,BROOKLYN,BROOKLYN
0,25014817,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11106,ASTORIA,QUEENS
0,29199987,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11212,BROOKLYN,BROOKLYN
3,33287340,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10462,BRONX,BRONX
0,42133523,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10472,BRONX,BRONX
0,36352991,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10031,NEW YORK,MANHATTAN
2,35742859,Department of Housing Preservation and Development,PLUMBING,BASIN/SINK,RESIDENTIAL BUILDING,11212,BROOKLYN,BROOKLYN
0,41662631,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11206,BROOKLYN,BROOKLYN
1,40612838,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
3,45098482,Department of Housing Preservation and Development,GENERAL,MAILBOX,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,25736470,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,RESIDENTIAL BUILDING,11203,BROOKLYN,BROOKLYN
3,22439690,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10468,BRONX,BRONX
2,32112461,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11210,BROOKLYN,BROOKLYN
2,28621143,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11235,BROOKLYN,BROOKLYN
1,35451506,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11233,BROOKLYN,BROOKLYN
2,26870917,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11429,Queens Village,QUEENS
0,38213020,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,10463,BRONX,BRONX
0,41256399,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,10033,NEW YORK,MANHATTAN
0,32593942,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11222,BROOKLYN,BROOKLYN
0,42601499,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11205,BROOKLYN,BROOKLYN
2,22534019,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10453,BRONX,BRONX
2,31112375,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11212,BROOKLYN,BROOKLYN
3,35343787,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,10457,BRONX,BRONX
2,41135389,New York City Police Department,Animal Abuse,No Shelter,Residential Building,11238,BROOKLYN,BROOKLYN
2,24334533,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,11217,BROOKLYN,BROOKLYN
2,33273113,Department of Housing Preservation and Development,UNSANITARY CONDITION,MOLD,RESIDENTIAL BUILDING,11236,BROOKLYN,BROOKLYN
1,45224368,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11355,Flushing,QUEENS
2,27571416,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11226,BROOKLYN,BROOKLYN
1,33010929,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11204,BROOKLYN,BROOKLYN
3,31342398,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,BRONX,BRONX
2,22482647,Department of Housing Preservation and Development,APPLIANCE,ELECTRIC/GAS-RANGE,RESIDENTIAL BUILDING,11225,BROOKLYN,BROOKLYN
1,30096244,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10314,STATEN ISLAND,STATEN ISLAND
1,29818172,Department of Housing Preservation and Development,HEAT/HOT WATER,ENTIRE BUILDING,RESIDENTIAL BUILDING,11377,Woodside,QUEENS
2,34830436,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,11218,BROOKLYN,BROOKLYN
1,29350768,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11212,BROOKLYN,BROOKLYN
3,25813156,Department of Housing Preservation and Development,PLUMBING,WATER-LEAKS,RESIDENTIAL BUILDING,10458,BRONX,BRONX
0,37352149,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11222,BROOKLYN,BROOKLYN
0,32203468,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11223,BROOKLYN,BROOKLYN
2,25325711,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,CERAMIC-TILE,RESIDENTIAL BUILDING,11216,BROOKLYN,BROOKLYN
2,28933295,Department of Housing Preservation and Development,UNSANITARY CONDITION,PESTS,RESIDENTIAL BUILDING,11222,BROOKLYN,BROOKLYN
3,26208891,Department of Housing Preservation and Development,PAINT - PLASTER,CEILING,RESIDENTIAL BUILDING,10465,BRONX,BRONX
0,38606013,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10002,NEW YORK,MANHATTAN
2,22511300,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10460,BRONX,BRONX
0,34873045,New York City Police Department,Noise - Residential,Loud Music/Party,Residential Building/House,11201,BROOKLYN,BROOKLYN
3,41011532,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10470,BRONX,BRONX
1,25853451,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,11103,Astoria,QUEENS
2,22727616,Department of Housing Preservation and Development,HEATING,HEAT,RESIDENTIAL BUILDING,10009,NEW YORK,MANHATTAN
3,26071934,Department of Housing Preservation and Development,NONCONST,VERMIN,RESIDENTIAL BUILDING,10452,BRONX,BRONX
0,42031831,New York City Police Department,Noise - Residential,Loud Television,Residential Building/House,10033,NEW YORK,MANHATTAN
2,30972370,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,11205,BROOKLYN,BROOKLYN
0,31469226,New York City Police Department,Noise - Residential,Loud Talking,Residential Building/House,11234,BROOKLYN,BROOKLYN
2,26165308,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,WINDOWS,RESIDENTIAL BUILDING,11229,BROOKLYN,BROOKLYN
3,43128940,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10456,BRONX,BRONX
0,28080042,New York City Police Department,Noise - Residential,Banging/Pounding,Residential Building/House,11216,BROOKLYN,BROOKLYN
